Pet Type,Weight,Allergies,Preferences,Pet Age,Activity Level,Health Condition,Recommended Food
Dog,10-20kg,None,High Protein,Adult,High,Normal,Royal Canin Sport
Dog,20-30kg,Grain,Grain-Free,Adult,Moderate,Obese,Hill's Science Diet
Cat,5-10kg,Dairy,Hypoallergenic,Senior,Low,Skin Allergy,Wellness Core
Rabbit,<5kg,None,Vegetarian,Adult,Moderate,Normal,Kaytee Supreme
Dog,30-50kg,Chicken,Low Fat,Senior,Low,Diabetic,Blue Buffalo Healthy Weight
Bird,<5kg,None,Vegetarian,Adult,Moderate,Normal,Kaytee Fiesta
Cat,10-20kg,Fish,Grain-Free,Adult,High,Normal,Orijen Six Fish
Dog,5-10kg,Beef,Hypoallergenic,Puppy,High,Skin Allergy,Wellness Simple
Rabbit,<5kg,None,Vegetarian,Senior,Low,Normal,Small Pet Select
Bird,<5kg,None,Vegetarian,Senior,Low,Normal,Hari Tropimix
Dog,10-20kg,None,Grain-Free,Senior,Low,Kidney Disease,Royal Canin Renal
Cat,5-10kg,Dairy,Low Fat,Adult,Moderate,Obese,Hill's Prescription Metabolic
Dog,30-50kg,None,High Protein,Adult,High,Normal,Acana Large Breed
Bird,<5kg,None,Vegetarian,Puppy,Moderate,Normal,Zupreem Fruit Blend
Rabbit,<5kg,None,Vegetarian,Puppy,Moderate,Normal,Kaytee Forti-Diet
