petType,healthCondition,petAge,weightRange,activityLevel,allergies,dietaryPreferences,includeTreats,budgetFriendly,portionSize,recommendation
Cat,Sensitive Stomach,Puppy,Extra Large (25-40kg),Very Active,Fish,Low-Carb,False,False,0.5,"Recipe: Digestive Aid | Ingredients: Ground turkey (1 cup, organic), Pumpkin puree (1/2 cup), Dairy-free yogurt (1 tbsp), Slippery elm powder (1/4 tsp) | Instructions: 1. Cook turkey thoroughly. 2. Blend with pumpkin and yogurt. 3. Add slippery elm powder. | Notes: Soothes stomach inflammation. Budget-friendly."
Cat,Sensitive Stomach,Young,Medium (5-10kg),Medium,Grain,High-Protein,False,False,2.1,"Recipe: Digestive Aid | Ingredients: Ground turkey (1 cup, organic), Pumpkin puree (1/2 cup), Dairy-free yogurt (1 tbsp), Slippery elm powder (1/4 tsp) | Instructions: 1. Cook turkey thoroughly. 2. Blend with pumpkin and yogurt. 3. Add slippery elm powder. | Notes: Soothes stomach inflammation. Budget-friendly."
Dog,Sensitive Stomach,Puppy,Extra Large (25-40kg),Very Active,Chicken,Organic,False,False,2.5,"Recipe: Joint Support Stew | Ingredients: Lentils (1 cup), Sweet potato (1 cup), Turmeric (1/2 tsp), Coconut oil (1 tbsp), Glucosamine powder (1/4 tsp) | Instructions: 1. Boil lentils and sweet potato until soft. 2. Mash and mix with turmeric and coconut oil. 3. Stir in glucosamine. | Notes: Supports joint health. Budget-friendly."
Bird,Diabetes,Puppy,Large (10-25kg),Very Active,Beef,Raw,False,False,2.4,Recipe: General Recipe | Ingredients: Unknown Ingredients | Instructions: No Instructions | Notes: No Notes
Dog,Healthy,Puppy,Large (10-25kg),Medium,Grain,Raw,True,False,1.0,"Recipe: Healthy Dog Formula | Ingredients: Fresh salmon (1.5 cups), Cooked quinoa (1 cup), Spinach (1/2 cup), Blueberries (1/4 cup), Fish oil (1 tsp) | Instructions: 1. Bake salmon at 350°F for 20 mins. 2. Mix with quinoa and spinach. 3. Top with blueberries and fish oil | Notes: Supports coat health. Premium ingredients."
Cat,Healthy,Adult,Medium (5-10kg),High,Dairy,Raw,True,True,2.1,"Recipe: Digestive Aid | Ingredients: Ground turkey (1 cup, organic), Pumpkin puree (1/2 cup), Dairy-free yogurt (1 tbsp), Slippery elm powder (1/4 tsp) | Instructions: 1. Cook turkey thoroughly. 2. Blend with pumpkin and yogurt. 3. Add slippery elm powder. | Notes: Soothes stomach inflammation. Budget-friendly."
Rabbit,Dental Health,Senior,Medium (5-10kg),Low,Fish,Glucosamine,False,False,2.3,Recipe: General Recipe | Ingredients: Unknown Ingredients | Instructions: No Instructions | Notes: No Notes
Bird,Obesity,Adult,Large (10-25kg),High,Fish,Raw,False,False,2.9,Recipe: General Recipe | Ingredients: Unknown Ingredients | Instructions: No Instructions | Notes: No Notes
Dog,Joint Issues,Adult,Large (10-25kg),Low,Chicken,Raw,True,False,3.5,"Recipe: Healthy Dog Formula | Ingredients: Fresh salmon (1.5 cups), Cooked quinoa (1 cup), Spinach (1/2 cup), Blueberries (1/4 cup), Fish oil (1 tsp) | Instructions: 1. Bake salmon at 350°F for 20 mins. 2. Mix with quinoa and spinach. 3. Top with blueberries and fish oil | Notes: Supports coat health. Premium ingredients."
Rabbit,Healthy,Senior,Medium (5-10kg),Low,Beef,Organic,False,True,3.4,Recipe: General Recipe | Ingredients: Unknown Ingredients | Instructions: No Instructions | Notes: No Notes
